"rsq","mu","sampling"
0.9878947952662123,84.7526470061624,"Beta-Binomial rho = 0.1"
0.9955346138014577,87.64023347242865,"Binomial"
0.9966660444982784,77.293187890781,"Beta-Binomial rho = 0.01"
0.998958652846454,59.03406926685362,"Beta-Binomial rho = 0.05"
0.9755519347168989,45.25438819770403,"Beta-Binomial rho = 0.1"
0.9926955908157908,85.59340207364974,"Binomial"
0.9884500312158667,83.69844002982681,"Beta-Binomial rho = 0.01"
0.9857602249223514,71.40805916469249,"Beta-Binomial rho = 0.05"
0.9956280949776504,65.25958366929359,"Beta-Binomial rho = 0.1"
0.9985901374862887,98.77953601677378,"Binomial"
0.9969557763082671,93.60326715148852,"Beta-Binomial rho = 0.01"
0.9948345624005471,80.59372129027336,"Beta-Binomial rho = 0.05"
0.9953502561364995,57.38809731200149,"Beta-Binomial rho = 0.1"
0.9831166081860904,114.73616187537128,"Binomial"
0.9711230622728998,114.49263951996535,"Beta-Binomial rho = 0.01"
0.9901497395880161,79.80160093988812,"Beta-Binomial rho = 0.05"
0.9870013186567798,71.46448922398419,"Beta-Binomial rho = 0.1"
0.9905390435046509,87.11866097308794,"Binomial"
0.9808068274516115,82.3023156092612,"Beta-Binomial rho = 0.01"
0.9761493840215201,60.755230155387295,"Beta-Binomial rho = 0.05"
0.9895127948904294,43.85281663661686,"Beta-Binomial rho = 0.1"
0.9899146189525354,95.71514586705402,"Binomial"
0.9947939479954817,90.89746108633764,"Beta-Binomial rho = 0.01"
0.9965190455785806,78.29568547944852,"Beta-Binomial rho = 0.05"
0.9912384567547456,70.66784206642846,"Beta-Binomial rho = 0.1"
0.9951806283700447,76.0477929927776,"Binomial"
0.9781381804276401,79.94448841776695,"Beta-Binomial rho = 0.01"
0.9805983562040015,61.99353042953555,"Beta-Binomial rho = 0.05"
0.9724842132311247,47.83539670433524,"Beta-Binomial rho = 0.1"
0.9981021602615824,62.935993761660534,"Binomial"
0.9968550634590124,67.58859023971802,"Beta-Binomial rho = 0.01"
0.9926160887064207,55.50307495591707,"Beta-Binomial rho = 0.05"
0.9850145189805101,40.686132087716715,"Beta-Binomial rho = 0.1"
0.9977428914742827,78.24811912479956,"Binomial"
